Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Wicked,2024,Jon M. Chu,"['Cynthia Erivo', 'Ariana Grande', 'Jonathan Bailey', 'Michelle Yeoh', 'Jeff Goldblum', 'Marissa Bode', 'Ethan Slater', 'Bowen Yang', 'Bronwyn James', 'Peter Dinklage', 'Keala Settle', 'Aaron Teoh', 'Colin Michael Carmichael', 'Adam James', 'Alice Fearn', 'Andy Nyman', 'Courtney-Mae Briggs', 'Sharon D. Clarke', 'Jenna Boyd', 'Karis Musongole', 'Ricardo Ludgero Souza', 'Poppy Townsend White', 'Matthew Koon', 'Alfredo Tavares', 'Jason Lines', 'Misa Koide', 'Skylar Blu Copeland', 'Hannah Veerapen', 'Aisha Jawando', 'Lukus Alexander', 'Isaac Bishop', 'Jonathan Sparrow', 'Terence Hughes', 'Marvin Montoute', 'James Dryden', 'Idina Menzel', 'Kristin Chenoweth', 'Stephen Schwartz', 'Kerry Ellis', 'Luke Bayer', 'Georgina Onuorah', 'Dianne Pilkington', 'Winnie Holzman', 'Kristy Ann Shaw', 'Elijah Chatwell']",4.07,nan,"['Romance', 'Drama', 'Fantasy']",160,['USA'],English,['English'],"When ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda, the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.","['Universal Pictures', 'Marc Platt Productions']",574486,91669,252774,9600,1637,1968,1930,6910,10797,35034,55481,129483,89040,186443,518723,https://letterboxd.com/film/wicked-2024/,https://letterboxd.com/kurstboy/films/
Juror #2,2024,Clint Eastwood,"['Nicholas Hoult', 'Toni Collette', 'J.K. Simmons', 'Chris Messina', 'Zoey Deutch', 'Cedric Yarbrough', 'Kiefer Sutherland', 'Gabriel Basso', 'Amy Aquino', 'Leslie Bibb', 'Francesca Eastwood', 'Adrienne C. Moore', 'Chikako Fukuyama', 'Phil Biedron', 'Hedy Nasser', 'Onix Serrano', 'Drew Scheid', 'Jason Coviello', 'Zele Avradopoulos', 'Rebecca Koon', 'KateLynn E. Newberry', 'Rachel Walters', 'Megan Mieduch', 'Melanie Harrison', 'Bria Brimmer', 'Scott Alan Smith', 'Javier Vazquez Jr.', 'Kurt Yue', 'Tom Thon', 'Ra Val Davis', 'Gabriel Butler', 'Kevin Saunders', 'Luciano Antonino', 'Lou Bosch', 'Kellen Boyle', 'Vincent Minutella', 'Ella Fraley', 'Grant Roberts']",3.55,nan,"['Drama', 'Crime']",114,['USA'],English,['English'],"While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer.","['Warner Bros. Pictures', 'Malpaso Productions', 'Dichotomy Films']",78633,23807,20129,86,144,480,686,2773,4905,13618,20033,19647,4161,1960,68407,https://letterboxd.com/film/juror-2/,https://letterboxd.com/kurstboy/films/
Gladiator II,2024,Ridley Scott,"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce', 'Alfie Tempest', 'Amira Ghazalla', 'Alexander Simkin', 'David Ganly', 'Richard Katz', 'Amal Ayouch', 'Hadrian Howard', 'Chidi Ajufo', 'Lee Charles', 'Christopher Edward Hallaways', 'Chi Lewis-Parry', 'Ángel Gómez De La Torre', 'Brahim Ait Ben Azzouz', 'Maxime Rauf Ruijselaar', 'Dean Fagan', 'Tom Moutchi', 'May Calamawy']",3.4,nan,"['Action', 'Adventure']",148,['USA'],English,['English'],"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","['Paramount Pictures', 'Red Wagon Entertainment', 'Parkes+MacDonald Image Nation', 'Scott Free Productions']",517856,90456,135758,853,2201,4509,5695,23874,37085,96712,114704,119709,33083,28874,466446,https://letterboxd.com/film/gladiator-ii/,https://letterboxd.com/kurstboy/films/
Blitz,2024,Steve McQueen,"['Elliott Heffernan', 'Saoirse Ronan', 'Harris Dickinson', 'Benjamin Clémentine', 'Kathy Burke', 'Paul Weller', 'Stephen Graham', 'Leigh Gill', 'Mica Ricketts', 'CJ Beckford', 'Alex Jennings', 'Joshua McGuire', 'Hayley Squires', 'Erin Kellyman', 'Sally Messham', 'Josef Altin', 'Sandra Huggett', 'Thea Achillea', 'Grahame Fox', 'David Kirkbride', 'Tommy Daley', 'Thomas Aitch', 'Charlie Hodson-Prior', 'Fraser Holmes', 'Gavi Singh Chera', 'Gerard Monaco', 'Max Gold', 'Matt Bardock', 'Lizzie Hopley', 'Heather Craney', 'Christopher Chung', 'Patrick Buckley', 'Linton Kwesi Johnson', 'John Mackay', 'Adam Somner', 'Liam Smith', 'Sue Maund', 'Steve Paget', 'Jonathan Kemp', 'Jim Conway', 'Charlie Irwin', 'Rufus Bateman', 'Mickey McAnulty', 'Lacey Leigh Payne', 'Blake Williams', 'Isaac Highams', 'Tony Turner', 'Jack Shalloo', 'Shaun Mason', 'Lisa Ronaghan', 'Janet Greaves', 'Grace Boyle', 'Gracie Cochrane', 'Ciara Baxendale', 'Anne Bird', 'Jack Bence', 'Tom Padley', 'Lizzie Roper', 'Tim Treloar', 'David Moorst', 'Kenny Fullwood', 'Jonathan Dryden Taylor', 'Robert Whitelock', 'Dominic Coleman', 'Bryony Hannah', 'Jay Simpson', 'Ella Dunlop', 'Johanna Allitt', 'Neal Barry', 'Andrew Caley', 'Calum Callaghan', 'Jem Wall', 'Gary Bates', 'Oengus MacNamara', 'Will Atiomo', 'Andrea Gordon', 'Ben Felton', 'Natasha Arancini', 'Alicia Grace Turrell', 'Natalie Quarry', 'Duncan Airlie James', 'Heather Coombs', 'Ben Fox', 'John Cummins', 'Florence Dobson', 'Nancy Sullivan', 'Mark Field', 'Lucy Russell', 'Alexandra Afryea', 'Pierre Bergman', 'Gianni Calchetti', 'Stuart Cooke', 'Nigel Finnissy', 'Jean-Pascal Heynemand', 'Ty Hurley', 'Tim Faraday', 'Cache Thake']",3.11,2.5,"['Drama', 'History', 'War']",120,"['UK', 'USA']",English,['English'],"In World War II London, nine-year-old George is evacuated to the countryside by his mother, Rita, to escape the bombings. Defiant and determined to return to his family, George embarks on an epic, perilous journey back home as Rita searches for him.","['Working Title Films', 'New Regency Pictures', 'Lammas Park']",33116,17813,5779,23,201,302,542,2410,3990,8763,6188,4062,762,637,27857,https://letterboxd.com/film/blitz-2024/,https://letterboxd.com/kurstboy/films/
The Wild Robot,2024,Chris Sanders,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu', 'Matt Berry', 'Ving Rhames', 'Mark Hamill', ""Catherine O'Hara"", 'Boone Storm', 'Alexandra Novelle', 'Raphael Alejandro', 'Paul-Mikél Williams', 'Eddie Park', 'Dee Bradley Baker', 'Randy Thom', 'Avrielle Corti', 'Keston John', 'Max Mittelman', 'Piotr Michael', 'Alessandro Beghi', 'Tiago Martinez', 'Becca Last', 'Madelyn Turpin', 'Kayleigh Rayne', 'Isabelle Tupin', 'Beckett Blomberg', 'Damon Fung', 'King Moore', 'Collin Erker']",4.25,nan,"['Family', 'Science Fiction', 'Animation']",102,['USA'],English,['English'],"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",['DreamWorks Animation'],533695,112188,253394,5100,275,653,699,3123,5616,25559,49824,134425,104981,156894,482049,https://letterboxd.com/film/the-wild-robot/,https://letterboxd.com/kurstboy/films/
Joker: Folie à Deux,2024,Todd Phillips,"['Joaquin Phoenix', 'Lady Gaga', 'Brendan Gleeson', 'Catherine Keener', 'Zazie Beetz', 'Steve Coogan', 'Harry Lawtey', 'Leigh Gill', 'Ken Leung', 'Jacob Lofland', 'Bill Smitrovich', 'Sharon Washington', 'Alfred Rubin Thompson', 'Connor Storrie', 'Gregg Daniel', 'Mac Brandt', 'George Carroll', 'John Lacy', 'Tim Dillon', 'Wayne Dehart', 'Troy Fromin', 'Ajgie Kirkland', 'Terrance T.P. Polite', 'Jimmy Walker Jr.', 'Toney Wilson', 'June Carryl', 'Don McManus', 'G.L. McQueary', 'Angela D. Watson', 'Murphy Guyer', 'Carson Higgins', 'Gattlin Griffith', 'Hudson Oz', 'Ray Lykins', 'Will Ropp', 'Ashton Moio', 'Emilio Rojas', 'Joe Spinney', 'Richard Busser', 'Brian Donahue', 'Mike Houston', 'Jess King', 'Jimmy Smagula', 'Stephen Stanton', 'Martin Kildare', 'Laurie Dawn', 'Steven X. Greenfield', 'Dominiqué Williams-Blair', 'Barry Bonder', ""Kaylah Sharve' Baker"", 'Ashley Levin', 'Celeste Butler', 'Alex Wesley Smith', 'Robert Loftus', 'Nick Cave']",2.45,2.0,"['Thriller', 'Crime', 'Drama']",138,['USA'],English,['English'],"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","['Warner Bros. Pictures', 'Joint Effort', 'Domain Entertainment']",562341,101866,82184,573,18215,39928,42840,98815,82276,96684,54510,44335,10509,13318,501430,https://letterboxd.com/film/joker-folie-a-deux/,https://letterboxd.com/kurstboy/films/
The Brutalist,2024,Brady Corbet,"['Adrien Brody', 'Felicity Jones', 'Guy Pearce', 'Joe Alwyn', 'Raffey Cassidy', 'Stacy Martin', 'Emma Laird', 'Isaach de Bankolé', 'Alessandro Nivola', 'Benett Vilmányi', 'Michael Epp', 'Jonathan Hyde', 'Peter Polycarpou', 'Salvatore Sansone', 'Ariane Labed', 'Dóra Sztarenki', 'Anna Mészöly', 'Abigél Szőke', 'Mariann Hermányi', 'Hermina Fátyol', 'Zsolt Páll', 'András Borgula', 'Dávid Puskás', 'Jeremy Wheeler', 'Jaymes Butler', 'Matt Devere', 'Natalie Shinnick', 'Stephen Saracco', 'Peter Linka', 'Robert Jackson', 'Levente Orbán']",4.11,nan,['Drama'],215,"['UK', 'USA']",English,"['English', 'Yiddish', 'Italian', 'Hungarian', 'Hebrew (modern)']","Fleeing from post-war Europe in 1947, a visionary architect and his wife settle in Pennsylvania where a wealthy and mysterious client changes their lives forever.","['Brookstreet Pictures', 'Kaplan Morrison', 'Intake Films', 'Andrew Lauren Productions', 'Lipsync Productions', 'Richmond Pictures', 'Meyohas Studio', 'Carte Blanche', 'Pierce Capital Entertainment']",11994,16926,4704,157,27,43,46,149,227,551,1026,2500,2514,2204,9287,https://letterboxd.com/film/the-brutalist/,https://letterboxd.com/kurstboy/films/
Wolfs,2024,Jon Watts,"['George Clooney', 'Brad Pitt', 'Austin Abrams', 'Amy Ryan', 'Poorna Jagannathan', 'Zlatko Burić', 'Richard Kind', 'Frances McDormand', 'Sergio Cota Jr.', 'Alfred Chou', 'Robert Timothy Smith', 'Amanda Aday', 'Kymbali Craig', 'Linda Carola', 'Vladimir Sizov', 'Abby Mohaddes', 'Sasha Biktagir', 'Samuel Evan Horowitz', 'Frank Trigg', 'Duffy Gaver', 'Edwin Taylor', 'Anthony N.', 'Irina Dubova']",3.05,2.0,"['Action', 'Crime', 'Comedy']",108,['USA'],English,"['English', 'Croatian']","Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.","['Smoke House Pictures', 'Plan B Entertainment', 'Apple Studios']",106287,20934,21913,58,338,1157,1780,7729,13301,30966,20572,11180,1722,1955,90700,https://letterboxd.com/film/wolfs/,https://letterboxd.com/kurstboy/films/
Martha,2024,R. J. Cutler,['Martha Stewart'],3.5,2.5,['Documentary'],116,['USA'],English,['English'],"Told in her own words, this candid documentary charts the unstoppable rise, sudden fall and hard-won comeback of lifestyle icon Martha Stewart.",['This Machine Filmworks'],21829,2476,4668,4,18,45,62,406,824,3915,3782,4548,553,1314,15467,https://letterboxd.com/film/martha-2024/,https://letterboxd.com/kurstboy/films/
Saturday Night,2024,Jason Reitman,"['Gabriel LaBelle', 'Rachel Sennott', 'Cory Michael Smith', 'Ella Hunt', ""Dylan O'Brien"", 'Emily Fairn', 'Matt Wood', 'Lamorne Morris', 'Kim Matula', 'Tommy Dewey', 'Cooper Hoffman', 'Nicholas Braun', 'Andrew Barth Feldman', 'Finn Wolfhard', 'Willem Dafoe', 'Stephen Badalamenti', 'Ellen Boscov', 'John Dinello', 'J.K. Simmons', 'Presley Coley', 'Kaia Gerber', 'Catherine Curtin', 'Nicholas Podany', 'Corinne Britti', 'Justin Matthew Smith', 'Matthew Rhys', 'Taylor Gray', 'Leander Suleiman', 'Mcabe Gregg', 'Kirsty Woodward', 'Jon Batiste', 'Naomi McPherson', 'Brian Welch', 'Paul Rust', 'Josh Brener', 'Tracy Letts', 'Brad Garrett', 'Rowan Joseph', 'Billy Bryk', 'Abraham Hsu', 'Parker Wierling', 'James Logan', 'Robert Wuhl', 'Drew Scheid', 'Martin Garner', 'Jeff Pope', 'Jef Holbrook', 'Jacob Berger', 'Casey Nicholas Price', 'Cassidy Alexandra Kahler', 'Colby West', 'Peter Dawson', 'Mike Platarote Jr.', 'Rob Barnes', 'Grace Barlow', 'Alia Guidry', 'Christian A. Jenkins', 'Raiford Jackson', 'Aidan Patrick Griffin', 'Mark Cyr', 'William C. Tate', 'John Ross', 'Brandon Niederauer', 'Alvin Ford Jr.', 'Cory Henry', 'Nicholas Clark', 'Max Townsley', 'Alexander Glyn Bennett', 'Robert Entous', 'Caroline Raad', 'Zane Shaw', 'Carter Colvin', 'Tristan McGlauchlen', 'Arlo Lachenmeyer', 'John Mayo', 'Lauren Shelfo', 'Dalton Suskie', 'McKinley Horn', 'Anna East', 'Rionna Luck', 'Jamie Day', 'Ted Williams', 'Jeff Witzke']",3.56,nan,"['History', 'Drama', 'Comedy']",109,['USA'],English,['English'],"At 11:30pm on October 11, 1975, a ferocious troupe of young comedians and writers changed television forever. This is the story of what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.","['Columbia Pictures', 'Right of Way Films']",140864,43955,48683,570,225,571,951,3741,6758,21444,29924,37770,11554,9845,122783,https://letterboxd.com/film/saturday-night-2024/,https://letterboxd.com/kurstboy/films/
