Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Soul,2020,Pete Docter,"['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House', 'Alice Braga', 'Richard Ayoade', 'Phylicia Rashād', 'Donnell Rawlings', 'Questlove', 'Angela Bassett', 'Cora Champommier', 'Margo Hall', 'Daveed Diggs', 'Rhodessa Jones', 'Wes Studi', 'Sakina Jaffrey', 'Fortune Feimster', 'Calum Grant', 'Laura Mooney', 'Zenobia Shroff', 'June Squibb', 'Ochuwa Oghie', 'Jeannie Tirado', 'Cathy Cavadini', 'Dorian Lockett', 'Doris Burke', 'Ronnie del Carmen', 'Esther K. Chae', 'Élisapie', 'Marcus Shelby']",3.93,nan,"['Family', 'Animation', 'Comedy', 'Fantasy']",101,['USA'],English,['English'],"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.","['Walt Disney Pictures', 'Pixar']",2272242,233594,753438,10000,2589,9413,6066,41332,38485,202528,203297,485435,199613,324287,1513045,https://letterboxd.com/film/soul-2020/,https://letterboxd.com//fumilayo/films/page/3/
The Bee Gees: How Can You Mend a Broken Heart,2020,Frank Marshall,"['Barry Gibb', 'Andy Gibb', 'Maurice Gibb', 'Robin Gibb', 'Lulu', 'Noel Gallagher', 'Chris Martin', 'Mark Ronson', 'Nick Jonas', 'Eric Clapton', 'Mykael S. Riley', 'Justin Timberlake', 'Nicky Siano', 'Bill Oakes', 'Karl Richardson', 'Albhy Galuten', 'Peter Brown', 'Vince Melouney', 'Alan Kendall', 'Yvonne Gibb', 'Dennis Byron', 'Blue Weaver', 'Vince Lawrence', 'Barbra Streisand', 'Lindsey Buckingham', 'Alice Cooper', 'Mick Fleetwood', 'Tom Snyder', 'Steve Dahl', 'Meat Loaf', 'Marvin Gaye', 'Al Green', 'Isaac Hayes', 'Dionne Warwick', 'Diana Ross', 'Kenny Rogers', 'Dolly Parton', 'Ed Sheeran']",3.88,4.0,"['Documentary', 'Music']",111,['USA'],English,['English'],"The story of the triumphs and hurdles of brothers Barry, Maurice, and Robin Gibb, otherwise known as the Bee Gees. The iconic trio, who found early fame in the 1960s, went on to write over 1,000 songs and have 20 No. 1 hits throughout their career, transcending more than five decades of changing tastes and styles.","['White Horse Pictures', 'Diamond Docs', 'The Kennedy/Marshall Company']",17249,4052,5212,11,2,13,12,98,186,1547,2619,4852,1144,1552,12025,https://letterboxd.com/film/the-bee-gees-how-can-you-mend-a-broken-heart/,https://letterboxd.com//fumilayo/films/page/3/
Enola Holmes,2020,Harry Bradbeer,"['Millie Bobby Brown', 'Henry Cavill', 'Sam Claflin', 'Helena Bonham Carter', 'Louis Partridge', 'Adeel Akhtar', 'Fiona Shaw', 'Frances de la Tour', 'Burn Gorman', 'Susan Wokoma', 'Claire Rushbrook', 'David Bamber', 'Hattie Morahan', 'Gaby French', 'Paul Copley', 'Ellie Haddington', 'Alex Kelly', 'James Duke', 'Connor Catchpole', 'Sarah Flind', 'Dempsey Bovell', 'Neil Bell', 'Sofia Stavrinou', 'Sophie Dixon', 'David Kirkbride', 'Delroy Atkinson', 'Mary Roscoe', 'Anthony Aje', 'Anthony Rickman', 'Philip Scott-Wallace', 'Tuyen Do', 'Esther Coles', 'Owen Atlas', 'Paul Parker', 'Heather Pearse', 'Jay Simpson', 'Pierre Bergman']",3.08,nan,"['Mystery', 'Crime', 'Adventure']",123,['USA'],English,['English'],"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.","['PCMA Productions', 'Legendary Pictures']",868667,52293,142076,1400,5523,13302,12575,49068,56788,149091,91456,93983,17475,40854,530115,https://letterboxd.com/film/enola-holmes/,https://letterboxd.com//fumilayo/films/page/3/
Another Round,2020,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe', 'Maria Bonnevie', 'Helene Reingaard Neumann', 'Susse Wold', 'Magnus Sjørup', 'Silas Cornelius Van', 'Albert Rudbeck Lindhardt', 'Martin Greis-Rosenthal', 'Frederik Winther Rasmussen', 'Aksel Vedsegaard', 'Gustav Sigurth Jeppesen', 'Freja Bella Lindahl', 'Mercedes Claro Schelin', 'Cassius Aasav Browning', 'Maria Ovi', 'Clara Phillipson', 'Oskar Kirk Damsgaard', 'Niels Jørgensen', 'Le Münster Swendsen', 'Michael Asmussen', 'Christina Hildebrandt', 'Thomas Guldberg Madsen', 'Per Otto Bersang Rasmussen', 'Dorte Højsted', 'Morten Jørgensen', 'Morten Thunbo', 'Max Kaysen Høyrup', 'Waldemar Beer Hansen', 'Matti Rochler', 'Milas Hansen', 'Carl David Schubert Holm-Nielsen', 'Jens Basse Dam', 'Jacob Ottensten', 'Aya Grann']",4.09,nan,"['Drama', 'Comedy']",117,"['Denmark', 'Netherlands', 'Sweden']",Danish,"['Danish', 'Swedish']",Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,"['Zentropa Entertainments', 'Film i Väst', 'Topkapi Films', 'Zentropa International Sweden', 'Zentropa International Netherlands']",621422,117586,215077,7000,402,1119,1213,5466,8723,39278,79870,185221,92339,73330,486961,https://letterboxd.com/film/another-round/,https://letterboxd.com//fumilayo/films/page/3/
Nomadland,2020,Chloé Zhao,"['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie', 'Gay DeForest', 'Patricia Grier', 'Angela Reyes', 'Carl R. Hughes', 'Douglas G. Soul', 'Ryan Aquino', 'Teresa Buchanan', 'Karie Lynn McDermott Wilder', 'Brandy Wilber', 'Makenzie Etcheverry', 'Bob Wells', 'Annette Webb', 'Rachel Bannon', 'Bryce Bedsworth', 'Sherita Deni Coker', 'Merle Redwing', 'Forrest Bault', 'Suanne Carlson', 'Donnie Miller', 'Roxanne Bay', 'Matt Sfaelos', 'Ronald O. Zimmerman', 'Derek Endres', 'Paige Dean', 'Paul Winer', 'Derrick Janis', 'Greg Barber', 'Carol Anne Hodge', 'Matthew Stinson', 'Terry Phillip', 'Bradford Lee Riza', 'Tay Strathairn', 'Cat Clifford', 'James R. Taylor Jr.', 'Jeremy Greenman', 'Ken Greenman', 'Melissa Smith', 'Warren Keith', 'Jeff Andrews', 'Paul Cunningham', 'Emily Foley', 'Mike Sells', 'Peter Spears', 'Cheryl Davis']",3.83,nan,['Drama'],108,['USA'],English,['English'],"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.","['Cor Cordium Productions', 'Hear/Say Productions', 'Highwayman Films']",598504,130774,158292,2600,2248,5075,3770,16080,18409,59944,74436,139666,63729,56064,439421,https://letterboxd.com/film/nomadland/,https://letterboxd.com//fumilayo/films/page/3/
Never Gonna Snow Again,2020,Małgorzata Szumowska,"['Alec Utgoff', 'Maja Ostaszewska', 'Agata Kulesza', 'Weronika Rosati', 'Katarzyna Figura', 'Łukasz Simlat', 'Andrzej Chyra', 'Krzysztof Czeczot', 'Maciej Drosio', 'Olaf Marchwicki', 'Astrid Nanowska', 'Wojciech Starostecki', 'Jerzy Nasierowski', 'Konstantin Sołowiow', 'Blanka Burzyńska', 'Adrian Podlaski', 'Lena Wochal', 'Casper Richard Petersen', 'Roman Gancarczyk', 'Maria Seweryn', 'Ewa Dałkowska', 'Ewa Kolasińska-Szramel', 'Stanislav Diachenko', 'Zbigniew Biel', 'Huynh Thi Tam Hien', 'Mirosław Haniszewski', 'Michał Wołczyk', 'Andrzej Pankowski', 'Mariusz Zaniewski', 'Jarosław Milner', 'Sebastian Dziubiel', 'Łucja Stachowczyk', 'Jasper Schwering', 'Eray Gulay', 'Halina Wójcik', 'Agata Trzebuchowska', 'Wiktoria Gorodeckaja']",3.49,nan,"['Comedy', 'Drama']",116,"['Germany', 'Netherlands', 'Poland']",Polish,"['Polish', 'French', 'Russian', 'Vietnamese']","Zenia is an industrious Ukrainian migrant worker in Poland who makes house calls as a masseur to the needy and aspirational residents of a middle-class gated community near Warsaw. He is privy to all of their problems, anxieties and secrets – and something of an unwitting guru figure. Zenia’s grounded spirituality, apparent healing powers and broad shoulders make him an object of lust for many of the lost souls in the community.","['The Match Factory', 'Lava Films', 'Kino Świat', 'Mazowiecki Instytut Kultury', 'Amsterdam Post Lab', 'ARTE', 'BR', 'Cinecopro Award', 'Di Factory', 'Film- und Medienstiftung NRW', 'Polsko-Niemiecki Fundusz Filmowy', 'Mazowiecki i Warszawski Fundusz Filmowy']",6741,2988,1367,12,30,63,72,282,431,1115,1280,1198,322,197,4990,https://letterboxd.com/film/never-gonna-snow-again/,https://letterboxd.com//fumilayo/films/page/3/
Preparations to Be Together for an Unknown Period of Time,2020,Lili Horvát,"['Natasa Stork', 'Viktor Bodó', 'Benett Vilmányi', 'Andor Lukáts', 'Zsolt Nagy', 'Peter Tóth', 'Attila Mokos', 'Réka Pelsöczy', 'Anna Kis']",3.39,nan,['Drama'],95,['Hungary'],Hungarian,"['Hungarian', 'English']","Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before.",['Poste Restante'],7409,3620,1481,11,17,65,56,294,540,1468,1458,1139,248,154,5439,https://letterboxd.com/film/preparations-to-be-together-for-an-unknown-period-of-time/,https://letterboxd.com//fumilayo/films/page/3/
Pieces of a Woman,2020,Kornél Mundruczó,"['Vanessa Kirby', 'Shia LaBeouf', 'Ellen Burstyn', 'Sarah Snook', 'Iliza Shlesinger', 'Benny Safdie', 'Molly Parker', 'Steven McCarthy', 'Tyrone Benskin', 'Frank Schorpion', 'Harry Strandjofski', 'Domenic Di Rosa', 'Jimmie Fails', 'Juliette Casagrande', 'Gayle Garfinkle', 'Vanessa Smythe', 'Nick Walker', 'Sean Tucker', 'Alain Dahan', 'Joelle Jérémie', 'Leisa Reid']",3.51,nan,['Drama'],127,"['Canada', 'Hungary', 'USA']",English,['English'],"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.","['Bron Studios', 'Little Lamb Productions', 'Proton Cinema', 'Creative Wealth Media Finance']",173920,33906,34829,177,314,1035,1089,5584,8542,28860,34090,35622,8122,7466,130724,https://letterboxd.com/film/pieces-of-a-woman/,https://letterboxd.com//fumilayo/films/page/3/
The Broken Hearts Gallery,2020,Natalie Krinsky,"['Geraldine Viswanathan', 'Dacre Montgomery', 'Utkarsh Ambudkar', 'Molly Gordon', 'Phillipa Soo', 'Arturo Castro', 'Suki Waterhouse', 'Sheila McCarthy', 'Nathan Dales', 'Ego Nwodim', 'Megan Ferguson', 'Bernadette Peters', 'Nikki Duval', 'Emma Hunter', 'Taylor Hill', 'Roy Choi', 'Tattiawna Jones', 'Tricia Black', 'Ray Kahnert', 'Elon Gold', 'Raymond Ablack', 'Nicholas Carella', 'Trent Pardy', 'Bradley Hamilton', 'Okiki Kendall', 'Bernard Kay', 'Jack Newman', 'Mel White', 'Stephanie Ng Wan', 'Melanie Leishman', 'Celeste Bruno', 'Izaak Smith', 'Chris Sandiford', 'Jacki Glick']",3.3,nan,"['Comedy', 'Romance']",109,['USA'],English,['English'],"Lucy is a young gallery assistant who collects mementos from her relationships. She discovers that she must let go of her past to move forward, and comes up with a lovely, artistic way to help herself and others who have suffered heartbreak.",['No Trace Camping'],53133,14255,13756,207,281,647,659,2422,3194,8590,7730,8449,2305,3971,38248,https://letterboxd.com/film/the-broken-hearts-gallery/,https://letterboxd.com//fumilayo/films/page/3/
I'm Thinking of Ending Things,2020,Charlie Kaufman,"['Jesse Plemons', 'Jessie Buckley', 'Toni Collette', 'David Thewlis', 'Guy Boyd', 'Hadley Robinson', 'Gus Birney', 'Abby Quinn', 'Colby Minifie', 'Anthony Grasso', 'Teddy Coluca', 'Jason Ralph', 'Oliver Platt', 'Frederick E. Wodlin', 'Ryan Steele', 'Unity Phelan', 'Norman Aaronson', 'Ashlyn Alessi', 'Monica Ayres', 'Julie Chateauvert', 'Ira Temchin', 'Albert Skowronski', 'Kamran Saliani', 'Dannielle Rose', 'Thomas Hatz', 'Brooke Elardo']",3.48,nan,"['Mystery', 'Drama', 'Fantasy', 'Thriller']",135,['USA'],English,['English'],Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,"['Likely Story', 'Projective Testing Service']",585486,114119,151772,5400,7733,13997,9156,30274,27781,68121,67703,103650,47239,43328,418982,https://letterboxd.com/film/im-thinking-of-ending-things/,https://letterboxd.com//fumilayo/films/page/4/
