Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Ramy Youssef: More Feelings,2024,Christopher Storer,"['Ramy Youssef', 'Steve Way']",3.7,nan,['Comedy'],55,['USA'],English,['English'],"Ramy Youssef returns to HBO with his second comedy special filmed in front of a live audience at White Eagle Hall in Jersey City, New Jersey on February 2 and 3.","['Cairo Cowboy', 'A24', 'American Light & Fixture']",6250,949,2321,1,12,20,11,66,109,495,717,1335,292,369,3426,https://letterboxd.com/film/ramy-youssef-more-feelings/,https://letterboxd.com/ok_cinema/films/
Godzilla × Kong: The New Empire,2024,Adam Wingard,"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson', 'Greg Hatton', 'Kevin Copeland', 'Tess Dobre', 'Tim Carroll', 'Anthony Brandon Wong', 'Sophia Emberson-Bain', 'Chika Ikogwe', 'Vincent B. Gorce', 'Zhou Yeye', 'Jamaliah Othman', 'Nick Lawler', 'Jordy Campbell', 'Cassie Riley', 'Robert Clavero', 'Patrick Moroney']",2.71,nan,"['Science Fiction', 'Adventure', 'Action']",115,['USA'],English,['English'],"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",['Legendary Pictures'],371816,85053,84634,367,5440,12571,15800,44863,52573,86628,46502,35993,7056,14854,322280,https://letterboxd.com/film/godzilla-kong-the-new-empire/,https://letterboxd.com/ok_cinema/films/
The Fall Guy,2024,David Leitch,"['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson', 'Hannah Waddingham', 'Teresa Palmer', 'Stephanie Hsu', 'Winston Duke', 'Ben Knight', 'Matuse Paz', 'Adam Dunn', 'Zara Michales', ""Ioane Sa'ula"", 'Gregory J. Fryer', 'Madeleine Wilson', 'Kalkidan China', 'Angela Nica Sullen', 'Di Smith', ""Megan O'Connell"", 'Jack Doherty', 'Tony Lynch', 'Georgia Nottage', 'David Collins', 'Semu Filipo', 'Andrew Owen', 'Dan Reardon', 'Marky Lee Campbell', 'Chris Matheson', 'Nathan Langworthy', 'Tim Franklin', 'Scott Johnson', 'Beth Champion', 'Emily Havea', 'Lawrence Ola', 'Cassandra Sorrell', 'Ben Gerrard', 'Diego Retamales', 'Simon McLachlan', 'Alex Lee', 'Andrew Ryan', 'Lee Majors', 'Heather Thomas', 'Jason Momoa', 'Daniel Nelson', 'Charlotte Wood', 'Madeleine Jones', 'Theodore Avery', 'Nova Onas', 'Nathan Bates', 'Shakriya Tarinyawat', 'Luisa Mariano', 'Tahlia Crinis', 'Martin Cohen', 'Georgia Willett', 'Yoji Tatsuta']",3.45,3.5,"['Romance', 'Action', 'Comedy']",127,['USA'],English,['English'],"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.","['87North Productions', 'Entertainment 360', 'Universal Pictures']",729075,134094,225325,2000,2173,5442,6472,25766,40790,124611,161231,167618,43239,52831,630173,https://letterboxd.com/film/the-fall-guy-2024/,https://letterboxd.com/ok_cinema/films/
Kung Fu Panda 4,2024,Mike Mitchell,"['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Lori Tan Chinn', 'Seth Rogen', 'Jimmy Donaldson', 'James Murray', 'James Sie', 'Cedric Yarbrough', 'Vic Chao', 'Audrey Brooke', 'Lincoln Nakamura', 'Cece Valentina', 'April Hong', 'Suzanne Buirgy', 'Logan Kim', 'Reyn Doi', 'Mick Wingert', 'Peggy Etra', 'Gedde Watanabe', 'Karen Maruyama', 'Tom McGrath', 'Phil LaMarr', 'Mike Mitchell', 'Colleen Smith', 'Sarah Sarang Oh', 'Paul Pape', 'James Taku Leung', 'Steve Alterman', 'Christopher Knights', 'Harry Shum Jr.']",2.7,3.0,"['Action', 'Fantasy', 'Family', 'Animation']",94,['USA'],English,['English'],"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",['DreamWorks Animation'],322796,60432,51686,156,3440,8698,11138,39676,51403,80466,36267,23690,3875,9323,267976,https://letterboxd.com/film/kung-fu-panda-4/,https://letterboxd.com/ok_cinema/films/
Chosen Family,2024,Heather Graham,"['Heather Graham', 'Julia Stiles', 'Andrea Savage', 'Thomas Lennon', 'Michael Gross', 'John Brotherton', 'Mark Famiglietti', 'Odessa Rae', 'Tom DeNucci', 'Chelsea Vale', 'Ella Grace Helton', 'Julie Halston', 'Chad Verdi Jr.', 'David Torres Jr.', 'Kurita', 'Brittany Toczko', 'Cynthia Oliveira Souza']",nan,0.5,"['Romance', 'Comedy', 'Drama']",88,['USA'],English,['English'],Ann is a yoga teacher struggling to achieve inner peace despite the fact her family is driving her crazy and her dating life is miserable. She doesn't know how to say no and wants to fix everyone's problems.,"['VMI Worldwide', 'Verdi Productions', 'Public School Productions', 'Hyperborea Films', 'Lasalle Productions']",135,83,8,0,19,16,7,5,7,4,0,3,0,50,111,https://letterboxd.com/film/chosen-family-2024/,https://letterboxd.com/ok_cinema/films/
Crossing,2024,Levan Akin,"['Mzia Arabuli', 'Lucas Kankava', 'Deniz Dumanlı', 'Tako Kurdovanidze', 'Ziya Sudançıkmaz', 'Bünyamin Değer', 'Sema Sultan Elekci', 'Levan Gabrichidze', 'Mehtap Özdemir', 'Bergüzar Mercan', 'Mehmet Isyar']",3.97,nan,['Drama'],106,"['Denmark', 'France', 'Georgia', 'Sweden', 'Turkey']",Georgian,"['Georgian', 'English', 'Turkish']","Lia, a retired teacher from Georgia, learns from her young neighbor, Achi, that her long-lost transgender niece, Tekla, has crossed the border into Turkey. In search of Tekla, Lia travels to Istanbul with the unpredictable Achi, where they explore the hidden depths of the city.","['French Quarter Film', 'Adomeit Film', 'Easy Riders Films', '1991 Productions', 'Bir Film', 'SVT', 'RMV Film']",24615,6516,9154,196,9,37,36,203,438,1771,3669,7867,3034,3275,20339,https://letterboxd.com/film/crossing-2024/,https://letterboxd.com/ok_cinema/films/
Taylor Tomlinson: Have It All,2024,Kristian Mercado Figueroa,['Taylor Tomlinson'],3.69,nan,['Comedy'],66,['USA'],English,['English'],"Can Taylor Tomlinson have it all? From dating woes to dream jobs to inventive dirty talk, she shares life's ups and downs in this stand-up comedy special.","['TTOM Productions', 'Triage Entertainment']",12633,1722,3670,2,16,22,29,145,285,1245,1903,2844,714,980,8183,https://letterboxd.com/film/taylor-tomlinson-have-it-all/,https://letterboxd.com/ok_cinema/films/
Madu,2024,"Matthew Ogens, Joel Kachi Benson",['Anthony Madu'],3.4,3.5,['Documentary'],101,['USA'],English,"['English', 'Igbo']","From practicing barefoot on the streets of Lagos to performing on stage in England, twelve year old Anthony Madu leaves his home in Nigeria to study at one of the most prestigious ballet schools in the world. Anthony, who had barely left his neighborhood in Lagos, finds himself thrust into a new world where his wildest dream is suddenly within reach. His journey is a story of extraordinary obstacles, courage, growth, and ultimately, his search for belonging.",['Hunting Lane Films'],354,187,81,0,2,3,2,13,30,74,47,63,10,33,277,https://letterboxd.com/film/madu-2024/,https://letterboxd.com/ok_cinema/films/
Dune: Part Two,2024,Denis Villeneuve,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola Gáspár', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan-Carter', 'Elbooz Omar Ahmed Fathie', 'Abdelkarim Hussein Seli Mohamed Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond Bóta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'Kincsö Pethö', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El-Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar-El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'Zdeněk Dvořáček', 'Billy Clements', 'Anton Valensi', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Tony Cook', 'Gábor Szemán', 'Jonathan Gunning', 'Will Irvine', 'Alan Mehdizadeh', 'Rex Adams', 'Molly Mcowan', 'Ana Cilas', 'Kajsa Mohammar', 'Sára Bácsfalvi', 'Zsófia Kocsis', 'Matthew Sim', 'Steve Wall', 'Italo Amerighi', 'Tim Hilborne', 'Cecile Sinclair', 'Tracy Coogan', 'Zoe Kata Kaska', 'Jimmy Walker', 'Rand Faris', 'Fouad Humaidan', 'Manaf Irani', 'Dora Kápolnai-Schvab', 'Joelle', 'Anya Taylor-Joy', 'Peter Sztojanov Jr.']",4.43,nan,"['Adventure', 'Science Fiction']",167,['USA'],English,['English'],"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",['Legendary Pictures'],2223679,366980,995228,57000,2514,5252,3106,16869,19666,84723,121745,408637,423270,810124,1895906,https://letterboxd.com/film/dune-part-two/,https://letterboxd.com/ok_cinema/films/
Thelma,2024,Josh Margolin,"['June Squibb', 'Fred Hechinger', 'Richard Roundtree', 'Parker Posey', 'Clark Gregg', 'Malcolm McDowell', 'Nicole Byer', 'Coral Peña', 'Hilda Boulware', 'Chase Kim', 'Carol Cetrone', 'Sheila Korsi', ""Annie O'Donnell"", 'Zoë Worth', 'David Giuliani', 'Ruben Rabasa', 'Quinn Beswick', 'Bunny Levine', 'Annie Korzen', 'Ivy Jones', 'Sandra Lee Gimpel', 'Aidan Fiske', 'Thelma Post', 'Paul LeClair']",3.75,nan,"['Adventure', 'Comedy', 'Action']",98,"['Switzerland', 'USA']",English,['English'],"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.","['Zurich Avenue', 'Invention Studios', 'Bandwagon']",77684,25057,29068,154,90,195,289,995,2046,9129,15247,23339,7656,7459,66445,https://letterboxd.com/film/thelma-2024/,https://letterboxd.com/ok_cinema/films/
