Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Joker: Folie à Deux,2024,Todd Phillips,"['Joaquin Phoenix', 'Lady Gaga', 'Brendan Gleeson', 'Catherine Keener', 'Zazie Beetz', 'Steve Coogan', 'Harry Lawtey', 'Leigh Gill', 'Ken Leung', 'Jacob Lofland', 'Bill Smitrovich', 'Sharon Washington', 'Alfred Rubin Thompson', 'Connor Storrie', 'Gregg Daniel', 'Mac Brandt', 'George Carroll', 'John Lacy', 'Tim Dillon', 'Wayne Dehart', 'Troy Fromin', 'Ajgie Kirkland', 'Terrance T.P. Polite', 'Jimmy Walker Jr.', 'Toney Wilson', 'June Carryl', 'Don McManus', 'G.L. McQueary', 'Angela D. Watson', 'Murphy Guyer', 'Carson Higgins', 'Gattlin Griffith', 'Hudson Oz', 'Ray Lykins', 'Will Ropp', 'Ashton Moio', 'Emilio Rojas', 'Joe Spinney', 'Richard Busser', 'Brian Donahue', 'Mike Houston', 'Jess King', 'Jimmy Smagula', 'Stephen Stanton', 'Martin Kildare', 'Laurie Dawn', 'Steven X. Greenfield', 'Dominiqué Williams-Blair', 'Barry Bonder', ""Kaylah Sharve' Baker"", 'Ashley Levin', 'Celeste Butler', 'Alex Wesley Smith', 'Robert Loftus', 'Nick Cave']",2.45,nan,"['Thriller', 'Crime', 'Drama']",138,['USA'],English,['English'],"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","['Warner Bros. Pictures', 'Joint Effort', 'Domain Entertainment']",562266,101506,82182,574,18208,39923,42833,98797,82271,96686,54505,44334,10509,13317,501383,https://letterboxd.com/film/joker-folie-a-deux/,https://letterboxd.com/ok_cinema/films/
The Room Next Door,2024,Pedro Almodóvar,"['Julianne Moore', 'Tilda Swinton', 'John Turturro', 'Alessandro Nivola', 'Alex Høgh Andersen', 'Esther-Rose McGregor', 'Melina Matthews', 'Juan Diego Botto', 'Victoria Luengo', 'Anh Duong', 'Sarah Demeestere', 'Antonios Antoniadis', 'Alvise Rigo', 'Raúl Arévalo', 'Celia Rocha', 'Cristina Kovani', 'Shane Woodward', 'Toon De Melker', 'Paolo Luka Noé', 'Nya Bowman', 'Bobbi Salvör Menuez', 'Annika Wahlsten', 'Dora Rowdon', 'Viktor Longo', 'Kyla Thomas', 'Ira Gramerman', 'Tom Johnson']",3.47,nan,"['Drama', 'Comedy']",107,['Spain'],English,['English'],"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",['El Deseo'],49837,17396,12817,71,182,518,587,2175,3054,7881,10186,11093,3224,2670,41570,https://letterboxd.com/film/the-room-next-door-2024/,https://letterboxd.com/ok_cinema/films/
Deadpool & Wolverine,2024,Shawn Levy,"['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner', 'Wesley Snipes', 'Channing Tatum', 'Chris Evans', 'Henry Cavill', 'Wunmi Mosaku', 'Aaron Stanford', 'Tyler Mane', 'Karan Soni', 'Brianna Hildebrand', 'Shioli Kutsuna', 'Stefan Kapičić', 'Randal Reeder', 'Lewis Tan', 'Nick Pauley', 'Sonita Henry', 'Ryan McKen', 'Nanak Phlora', 'Aydin Ahmed', 'Leemore Marrett Jr.', 'James Dryden', 'Ollie Palmer', 'Greg Hemphill', 'Aaron W Reed', 'Mike Waters', 'Rob McElhenney', 'James Reynolds', 'Ed Kear', 'Paul G. Raymond', 'Blake Lively', 'Inez Reynolds', 'Nathan Fillion', 'Matthew McConaughey', 'OIin Reynolds', 'Paul Mullin', 'Alex Kyshkovych', 'Chris Hemsworth', 'Billy Clements', 'Daniel Medina Ramos', 'Jade Lye', 'Nilly Cetin', 'Eduardo Gago Muñoz', 'Chloe Kibble', 'Curtis Rowland Small', 'Ayesha Hussain', 'Jessica Walker', 'Harry Holland', 'Kevin Fortin']",3.53,nan,"['Science Fiction', 'Action', 'Comedy']",128,['USA'],English,['English'],"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","['Marvel Studios', 'Maximum Effort', '21 Laps Entertainment', '20th Century Studios', 'Kevin Feige Productions', 'TSG Entertainment']",1723566,260171,597544,6100,9484,19316,20242,65614,90988,246540,278270,398976,146936,226920,1503286,https://letterboxd.com/film/deadpool-wolverine/,https://letterboxd.com/ok_cinema/films/
Despicable Me 4,2024,Chris Renaud,"['Steve Carell', 'Kristen Wiig', 'Will Ferrell', 'Sofía Vergara', 'Miranda Cosgrove', 'Dana Gaier', 'Madison Polan', 'Pierre Coffin', 'Chris Renaud', 'Steve Coogan', 'Stephen Colbert', 'Chloe Fineman', 'Joey King', 'Laraine Newman', 'John DiMaggio', 'Tara Strong', 'Romesh Ranganathan', 'Brad Ableson', 'Barbara Harris', 'Eden Boulton', 'JP Karliak', 'Cathy Cavadini', 'Arif S. Kinchen', 'Will Collyer', 'Jeremy Maxwell', 'Abby Craden', 'Ken Daurio', 'Khary Payton', 'John DeMita', 'Aaron Fors', 'Isaac Robinson-Smith', 'Willow Geer', 'Isa Hall', 'Nisa Ward', 'Aaron Hendry', 'Andreana Weiner', 'Colette Whitaker']",2.75,nan,"['Family', 'Animation', 'Comedy', 'Action']",94,['USA'],English,['English'],"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","['Universal Pictures', 'Illumination', 'Universal Pictures Corporation', 'My Production to prove']",416258,57759,79319,313,4723,12198,15651,48383,55182,93042,45502,41727,8006,26589,351003,https://letterboxd.com/film/despicable-me-4/,https://letterboxd.com/ok_cinema/films/
Inside Out 2,2024,Kelsey Mann,"['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Tony Hale', 'Lewis Black', 'Phyllis Smith', 'Ayo Edebiri', 'Lilimar', 'Grace Lu', 'Sumayyah Nuriddin-Green', 'Adèle Exarchopoulos', 'Diane Lane', 'Kyle MacLachlan', 'Paul Walter Hauser', 'Yvette Nicole Brown', 'Ron Funches', 'James Austin Johnson', 'Yong Yea', 'Steve Purcell', 'Dave Goelz', 'Kirk R. Thatcher', 'Frank Oz', 'Paula Pell', 'June Squibb', 'Pete Docter', 'Paula Poundstone', 'John Ratzenberger', 'Sarayu Blue', 'Flea', 'Bobby Moynihan', 'Kendall Coyne Schofield']",3.64,nan,"['Comedy', 'Drama', 'Family', 'Animation', 'Adventure']",97,['USA'],English,['English'],"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","['Walt Disney Pictures', 'Pixar']",1817814,205692,549666,2000,2559,7048,7222,41352,64521,265381,316220,484585,142349,215879,1547116,https://letterboxd.com/film/inside-out-2-2024/,https://letterboxd.com/ok_cinema/films/
All We Imagine as Light,2024,Payal Kapadia,"['Kani Kusruti', 'Divya Prabha', 'Chhaya Kadam', 'Hridhu Haroon', 'Azees Nedumangad', 'Tintumol Joseph', 'Anand Sami', 'Lovleen Mishra', 'Madhu Raja', 'Shweta Prajapati', 'Ardra K.S.', 'Sisira Anil CK', 'Aparna Ram', 'Kashish Singh', 'Nikhil Mathew', 'Bipin Nadkarni', 'Snehalata Siddharth Tagde', 'Saee Abhay Limaye', 'Sanjay Balu Ghanekar', 'Shailaja Shrikant']",3.85,nan,['Drama'],118,"['France', 'India', 'Italy', 'Luxembourg', 'Netherlands']",Malayalam,"['Malayalam', 'Marathi', 'Hindi']","In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend. A trip to a beach town allows them to find a space for their desires to manifest.","['petit chaos', 'Chalk and Cheese', 'ARTE France Cinéma', 'BALDR', 'Another Birth', 'Les Films Fauves', 'Pulpa Film']",26772,12741,9659,164,27,106,112,503,906,2873,4150,7028,2851,2282,20838,https://letterboxd.com/film/all-we-imagine-as-light/,https://letterboxd.com/ok_cinema/films/
Anora,2024,Sean Baker,"['Mikey Madison', 'Mark Eydelshteyn', 'Karren Karagulian', 'Yura Borisov', 'Vache Tovmasyan', 'Lindsey Normington', 'Darya Ekamasova', 'Aleksey Serebryakov', 'Anton Bitter', 'Ivy Wolk', 'Emily Weider', 'Luna Sofía Miranda', 'Paul Weissman', 'Vincent Radwinsky', 'Brittney Rodriguez', 'Sophia Carnabuci', 'Ella Rubin', 'Ross Brodar', 'Zoë Vnak', 'Vlad Mamai', 'Alena Gurevich', 'Maria Tichinskaya', 'Morgan Charlton', 'Nazar Khamis', 'Charles Jang', 'Lana Svidonovich', 'Masha Zhak', 'Sebastian Conelli', 'Irina Finley', 'Mariana Orozco Arango', 'Artyom Trubnikov', 'Michael Sergio', 'Charlton Lamar', ""Mickey O'Hagan""]",4.16,nan,"['Drama', 'Romance', 'Comedy']",139,['USA'],English,"['English', 'Armenian', 'Russian']","Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.","['Cre Film', 'FilmNation Entertainment']",385670,102498,156983,4900,947,1617,1259,5043,6534,20648,36684,102198,86947,71922,333799,https://letterboxd.com/film/anora/,https://letterboxd.com/ok_cinema/films/
Furiosa: A Mad Max Saga,2024,George Miller,"['Anya Taylor-Joy', 'Chris Hemsworth', 'Tom Burke', 'Alyla Browne', 'George Shevtsov', 'Lachy Hulme', 'John Howard', 'Angus Sampson', 'Charlee Fraser', 'Elsa Pataky', 'Nathan Jones', 'Josh Helman', 'David Field', 'Rahel Romahn', 'David Collins', 'Goran D. Kleut', 'CJ. Bloomfield', 'Matuse Paz', 'Ian Roberts', 'Guy Spence', 'Robert Jones', 'Clarence John Ryan', 'Tim Burns', 'Tim Rogers', 'Florence Mezzara', 'Quaden Bayles', 'Peter Stephens', 'Sean Millis', 'Lee Perry', 'Dylan Adonis', 'David Barnett', 'Anna Adams', 'Peter Sammak', 'Shea Adams', 'Josh Randall', 'Karl Van Moorsel', 'Dawn Klingberg', 'Richard Norton', 'Stephen Amadasun', 'Nick Annas', 'Ripley Voeten', 'Matthew Van Leeve', 'Shane Dundas', 'Jamie Cluff', 'Adam Thompson', 'Shyan Tonga', 'Nellie Collins', 'Adam Washbourne', 'James Corcoran', 'Sasa Vitanovic', 'Tige Sixel Miller', 'Justice Jones', 'Maleeka Gasbarri', 'Keza Ishimwe', 'Nat Buchanan', 'Jacob Tomuri', 'Mark Wales', 'Bryan Probets', 'Danny Lim', 'Darcy Bryce', 'Chudier Gatwech', 'Shivantha Wijesinha', 'Spencer Connelly', 'Ben Smith-Petersen', 'Toby Fuller', 'Jayden Irving', 'Jesse Turner', 'Jon Iles', 'Harrison Norris', 'Ash Hodgkinson', 'Sean Renfrey', 'Xanthia Marinelli', 'Alex Time', 'Daniel Webber', 'Zhou Yeye', 'Nikos Andronicos', 'Kelli Bailey', 'Marcia Coronado', 'Matt De Souza', 'Hiroshi Kasuga', 'Shakriya Tarinyawat', 'Zhang Chongwei']",3.83,nan,"['Science Fiction', 'Adventure', 'Action']",149,"['Australia', 'USA']",English,['English'],"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.","['Warner Bros. Pictures', 'Kennedy Miller Mitchell', 'Domain Entertainment']",811661,170038,272811,1700,1683,4070,3654,16521,23367,83115,132795,254480,114512,67866,702063,https://letterboxd.com/film/furiosa-a-mad-max-saga/,https://letterboxd.com/ok_cinema/films/
How to Make Millions Before Grandma Dies,2024,Pat Boonnitipat,"['Putthipong Assaratanakul', 'Usha Seamkhum', 'Sanya Kunakorn', 'Sarinrat Thomas', 'Pongsatorn Jongwilas', 'Tontawan Tantivejakul', 'Duangporn Oapirat', 'Himawari Tajiri', 'Wattana Subpakit', 'Sumalee Suteeratham', 'Phichai Prommate', 'Pachchun Hiranprateep', 'Buppa Suttisanon', 'Arnon Puthamilinprateep', 'Jirayus Kammalaspitak', 'Somjai Jungsookprasert', 'Jindarat Saetae', 'Nutharphob Phobaikoon', 'Kanyapak Pornsiripitak', 'Natnapaporn Teerapatmaneechot', 'Sirapatsorn Thananchai', 'Kittiphong Sojohn', 'Sarinrath Thivakolrakot', 'Kritnicha Thivakolrakot', 'Surit Thivakolrakot', 'Thanet Narkkeyoon', 'Phet Kaewpinta', 'Pornthip Nitikultanon', 'Phattaramon Atthaphornphaijit', 'Nazznaphazz Tavanukulkit', 'Jira Poorintrapiban', 'Pongsakorn Moolklang', 'Nipaporn Satitvimol', 'Athikom Kaenwong', 'Pattarawan Srisitsereeamorn', 'Punnawich Kanjanaveeravit', 'Dayada Thanathanyaphichet', 'Leemui Sae-lee', 'Jirin Artsavarungnirand', 'Vinyu Boonritrutaikul', 'Nashalei Boonritrutaikul', 'Neon Artsavarungnirand', 'Tossaphon Artsavarungnirand', 'Kawita Artsavarungnirand', 'Pongphon Artsavarungnirand', 'Pasith Artsavarungnirand', 'Umpond Tangkasem', 'Sirikarn Panthachotirat', 'Phupipat Buranatrakul', 'Adisorn Thivakorakot', 'Visart Liyawarakhun', 'Tawee Sarochwiksit', 'Arintha Kasemkiatsanti', 'Rattana Tangthanaeth', 'Ongkarak Ungkarud', 'Niyom Kraipui', 'Siwaporn Phetseechuang', 'Nares Khamfu', 'Wisan Pleumjaroen', 'Supawit Chotipun', 'Nutpaphat Klungsuwan', 'Pravit Kamoljaratsopha', 'Suttida Nanta', 'Parnisara Wongmetakul', 'Rusalan Saemahsae', 'Parichad Mengpad']",4.31,nan,['Drama'],125,['Thailand'],Thai,['Thai'],"M, a university dropout low on money and luck, volunteers to take care of his terminally ill grandmother, in the hope of pocketing an inheritance.","['GDH 559', 'Jor Kwang Films']",59739,10896,26973,1200,34,73,55,315,535,2666,4935,13927,10140,20208,52888,https://letterboxd.com/film/how-to-make-millions-before-grandma-dies/,https://letterboxd.com/ok_cinema/films/
Challengers,2024,Luca Guadagnino,"['Zendaya', 'Mike Faist', ""Josh O'Connor"", 'Darnell Appling', 'Bryan Doo', 'Shane T Harris', 'Nada Despotovich', 'Joan Mcshane', 'Chris Fowler', 'Mary Joe Fernández', 'A.J. Lister', 'Connor Aulson', 'Doria Bramante', 'Christine Dye', 'James Sylva', 'Kenneth A. Osherow', 'Kevin Collins', 'Burgess Byrd', 'Jason Tong', 'Hudson Rivera', 'Noah Eisenberg', 'Emma Davis', 'Naheem Garcia', 'Alex Bancila', 'Jake Jensen', 'Konrad Ryba', 'Hailey Gates', 'Andrew Rogers', 'Beverly Kristenson Helton', 'Brad Gilbert', 'Sam Xu', 'Caleb Schneider', 'Sam Arnold', 'David S. Bookbinder', 'Jack Amsler', 'Lachlan Boyle', 'Courtney Brooks', 'Dennis Daniel', 'Tierre Diaz', 'Elaine Victoria Grey', 'Jason Hewitt', 'Ian Dylan Hunt', 'Kagga Jayson', 'Lizzy Kircher', 'Bobby Leigh', 'Casey McNeal', 'Patricia Pinto', 'Rhonda Araujo Smith', 'Juan Szilagyi', 'Annabella Valle']",3.94,nan,"['Drama', 'Romance']",132,"['Italy', 'USA']",English,"['English', 'Romanian']","Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.","['Pascal Pictures', 'Why Are You Acting? Productions', 'Frenesy Film', 'Metro-Goldwyn-Mayer']",1709160,259471,637523,22000,5540,11729,9332,41933,46818,158118,196000,441031,262369,320820,1493690,https://letterboxd.com/film/challengers/,https://letterboxd.com/ok_cinema/films/
