Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Dune: Part Two,2024,Denis Villeneuve,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola Gáspár', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan-Carter', 'Elbooz Omar Ahmed Fathie', 'Abdelkarim Hussein Seli Mohamed Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond Bóta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'Kincsö Pethö', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El-Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar-El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'Zdeněk Dvořáček', 'Billy Clements', 'Anton Valensi', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Tony Cook', 'Gábor Szemán', 'Jonathan Gunning', 'Will Irvine', 'Alan Mehdizadeh', 'Rex Adams', 'Molly Mcowan', 'Ana Cilas', 'Kajsa Mohammar', 'Sára Bácsfalvi', 'Zsófia Kocsis', 'Matthew Sim', 'Steve Wall', 'Italo Amerighi', 'Tim Hilborne', 'Cecile Sinclair', 'Tracy Coogan', 'Zoe Kata Kaska', 'Jimmy Walker', 'Rand Faris', 'Fouad Humaidan', 'Manaf Irani', 'Dora Kápolnai-Schvab', 'Joelle', 'Anya Taylor-Joy', 'Peter Sztojanov Jr.']",4.43,nan,"['Adventure', 'Science Fiction']",167,['USA'],English,['English'],"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",['Legendary Pictures'],2223804,367023,995284,57000,2514,5253,3106,16871,19670,84733,121749,408665,423292,810168,1896021,https://letterboxd.com/film/dune-part-two/,https://letterboxd.com/bfi/films/
The Kitchen,2023,"Kibwe Tavares, Daniel Kaluuya","['Kane Robinson', 'Jedaiah Bannerman', 'Hope Ikpoku Jnr', 'Teija Kabs', 'Demmy Ladipo', 'Cristale', 'BACKROAD GEE', 'Rasaq Kukoyi', ""Reuben 'Trizzy' Nyamah"", 'Henry Lawfull', 'Alan Asaad', 'Ian Wright', 'Ewart James Walters', 'Lesley-Anne Miller', 'Fiona Marr', 'Arabella McMurray', 'Bradley Wj Miller', 'Rania Chakir', 'Tiarnae Fearon-Spencer', 'Olivia-Rose Colliard', 'Mallik Mafumbilo', 'Neville Watson', 'Ollie Dignam', 'Dani Moseley', 'Karen Williams', 'Nicole Sargent', 'Gabriel Goulding', 'Rhys Yates', 'Richie Lawrie', 'Lola-Rose Maxwell', 'Pierre Bergman']",2.67,nan,"['Adventure', 'Comedy', 'Thriller', 'Science Fiction', 'Drama']",109,"['UK', 'USA']",English,['English'],"Izi's close to escaping The Kitchen, one of London's last remaining housing estates. But when young Benji enters his life, he faces some hard decisions.","['DMC Film', '59%', 'Film4 Productions', 'Factory Fifteen']",21866,4993,2981,10,337,832,1006,3322,3534,5144,2484,1586,258,346,18849,https://letterboxd.com/film/the-kitchen-2023/,https://letterboxd.com/bfi/films/
Oppenheimer,2023,Christopher Nolan,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie', 'Jason Clarke', 'Dylan Arnold', 'Tom Conti', ""James D'Arcy"", 'David Dastmalchian', 'Dane DeHaan', 'Alden Ehrenreich', 'Tony Goldwyn', 'Jefferson Hall', 'David Krumholtz', 'Matthew Modine', 'Scott Grimes', 'Kurt Koehler', 'John Gowans', 'Macon Blair', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska', 'Petrie Willink', 'Matthias Schweighöfer', 'Alex Wolff', 'Josh Zuckerman', 'Rory Keane', 'Michael Angarano', 'Emma Dumont', 'Sadie Stratton', 'Britt Kyle', 'Guy Burnet', 'Tom Jenkins', 'Louise Lombard', 'Michael Andrew Baker', 'Jeff Hephner', 'Olli Haaskivi', 'David Rysdahl', 'Josh Peck', 'Jack Quaid', 'Brett DelBuono', 'Gustaf Skarsgård', 'James Urbaniak', 'Trond Fausa Aurvåg', 'Devon Bostick', 'Danny Deferrari', 'Christopher Denham', 'Jessica Erin Martin', 'Ronald Auguste', 'Máté Haumann', 'Olivia Thirlby', 'Jack Cutmore-Scott', 'Harrison Gilbertson', 'James Remar', 'Will Roberts', 'Pat Skipper', 'Steve Coulter', 'Jeremy John Wells', 'Sean Avery', 'Adam Kroeger', 'Drew Kenney', 'Bryce Johnson', 'Flora Nolan', 'Kerry Westcott', 'Christina Hogue', 'Clay Bunker', 'Tyler Beardsley', 'Maria Teresa Zuppetta', 'Kate French', 'Gary Oldman', 'Hap Lawrence', 'Meg Schimelpfenig']",4.21,nan,"['History', 'Drama']",181,"['UK', 'USA']",English,"['English', 'Dutch']",The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,"['Syncopy', 'Universal Pictures', 'Atlas Entertainment', 'Breakheart Films', 'Peters Creek Entertainment']",3131347,519661,1231591,34000,5703,13196,7348,44848,42443,200692,228812,684199,516089,806369,2549699,https://letterboxd.com/film/oppenheimer-2023/,https://letterboxd.com/bfi/films/
Barbie,2023,Greta Gerwig,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Ariana Greenblatt', 'Issa Rae', 'Kate McKinnon', 'Alexandra Shipp', 'Emma Mackey', 'Hari Nef', 'Sharon Rooney', 'Ana Cruz Kayne', 'Ritu Arya', 'Dua Lipa', 'Nicola Coughlan', 'Emerald Fennell', 'Simu Liu', 'Kingsley Ben-Adir', 'Ncuti Gatwa', 'Scott Evans', 'John Cena', 'Michael Cera', 'Rhea Perlman', 'Helen Mirren', 'Will Ferrell', 'Connor Swindells', 'Jamie Demetriou', 'Andrew Leung', 'Will Merrick', 'Zheng Xi Yong', 'Asim Chaudhry', 'Ray Fearon', 'Erica Ford', 'Hannah Khalique-Brown', 'Mette', 'Marisa Abela', 'Lucy Boynton', 'Rob Brydon', 'Tom Stourton', 'Chris Taylor', 'David Mumeni', 'Olivia Brody', 'Isla Ashworth', 'Eire Farrell', 'Daisy Duczmal', 'Genvieve Toussaint', 'Isabella Nightingale-Mercado', 'Millie-Rose Crossley', 'Anvita Nehru', 'Kayla-Mai Alvares', 'Luke Mullen', 'Patrick Luwis', 'Mac Brandt', 'Paul Jurewicz', 'Oraldo Austin', 'Benjamin Arthur', 'Carlos Jacott', 'Adam Ray', 'George Basil', 'Ptolemy Slocum', 'Deb Hiett', 'James Leon', 'Oliver Vaquer', 'Tony Noto', 'Christopher T. Wood', 'Ann Roth', 'Annie Mumolo', 'Elise Gallup', 'McKenna Roberts', 'Brylee Hsu', 'Sasha Milstein', 'Lauren Holt', 'Sterling Jones', 'Ryan Piers Williams', 'Jamaal Lewis', 'Kathryn Akin', 'Grace Jabbari', 'Ira Mandela Siobhan', 'Lisa Spencer', 'Naomi Weijand', 'Tom Clark', 'Ireanne Abenoja', 'Davide Albonetti', 'Charlotte Anderson', 'Michael Anderson', 'Rico Bakker', 'James Bamford', 'William John Banks', 'Callum Bell', 'Adam Blaug', 'Mason Boyce', 'Taylor Bradshaw', 'Alex Brown', 'Miekaile Browne', 'Lewis Calcutt', 'Nikkita Chadha', 'Oliver Chapman', 'Megan Charles', 'Callum Clack', 'Danny Coburn', 'Kat Collings', 'Adam Crossley', 'Sia Dauda', 'Gustave Die', 'Grace Durkin', 'Joelle Dyson', 'Lewis Easter', 'Onyemachi Ejimofor', 'Cameron Everitt', 'Luke Field-Wright', 'Sasha Flesch', 'Adam Fogarty', 'Michael John French', 'Anna-Kay Gayle', 'Charlie Goddard', 'Marlie Goddard', 'Ellis Harman', 'Yasmin Harrison', 'Josh Hawkins', 'James Healy', 'Tim Hodges', 'Mira Jebari', 'Beccy Jones', 'Thomas Kalek', 'Lily Laight', 'Maiya Leeke', 'Cristian Liberti', 'Prodromos Marneros', 'Nahum McLean', 'Jordan Melchor', 'Ramzan Miah', 'Andy Monaghan', 'Florivaldo Mossi', 'Hannah Nazareth', 'Grant Neal', 'Freja Nicole', 'Shaun Niles', 'Ella Nonini', 'Jack William Parry', 'Josie Pocock', 'Barnaby Quarendon', 'Redmand Rance', 'Zara Richards', 'Liam Riddick', 'Alana Rixon', 'Adam Paul Robertson', 'Kingdom Sibanda', 'Sebastian Skov', 'Aaron J. Smith', 'Joshua Smith', 'Lucia-Rose Sokolowski', 'Janine Somcio', 'Alex Sturman', 'Callum Sterling', 'Todd Talbot', 'Charles Tatman', 'Grant Thresh', 'Connor Tidman', 'Wahchi Vong', 'Jerry Wan', 'Sasha Wareham', 'Stan West', 'Oliver Wheeler', 'Josh Wild', 'Joe Wolstenholme', 'Richard Womersley', 'Ashley Young']",3.82,nan,"['Comedy', 'Adventure']",114,"['UK', 'USA']",English,['English'],"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","['LuckyChap Entertainment', 'Heyday Films', 'NB/GG Pictures', 'Mattel', 'Warner Bros. Pictures']",4385469,487874,1852322,25000,16106,36186,23493,121354,120988,498798,470549,977466,375147,858694,3498781,https://letterboxd.com/film/barbie/,https://letterboxd.com/bfi/films/
Scala!!!,2023,"Jane Giles, Ali Catterall","['John Waters', 'Adam Buxton', 'Stewart Lee', ""James O'Brien"", 'Isaac Julien', 'Caroline Catz', 'Mary Harron', 'Beeban Kidron', 'Princess Julia', 'Kim Newman', 'Ben Wheatley', 'Ralph Brown', 'Graham Humphreys', 'JoAnne Sellar', 'Peter Strickland', 'Stephen Woolley', 'John Akomfrah', 'Thurston Moore', 'J.G. Thirlwell', 'Cathi Unsworth', 'Jah Wobble', 'Barry Adamson', 'Paul Putner', 'Jane Giles', 'Alan Jones', 'Douglas Hart', 'Matt Johnson', 'David McGillivray']",3.59,nan,['Documentary'],96,['UK'],English,['English'],"This feature-length big screen documentary tells the riotous inside story of the infamous sex, drugs and rock 'n' roll repertory cinema which inspired a generation during Britain's turbulent Thatcher years.","['Fifty Foot Woman', 'Channel X', 'Anti-Worlds', 'BFI']",3556,1312,1020,2,2,8,6,52,119,563,717,876,125,188,2656,https://letterboxd.com/film/scala-2023/,https://letterboxd.com/bfi/films/
A Dog Called Discord,2023,Mark Jenkin,"['Mark Jenkin', 'Martin Cross', 'Jane Fernandes', 'Liz Fowler', 'Steve Grey']",nan,nan,['Documentary'],22,['UK'],English,['English'],"Mark Jenkin explores his fascination with the magic of film and its life-giving properties in this brand new short film, commissioned by the BFI to mark the Film on Film Festival.","['Bosena', 'BFI']",334,99,107,1,2,1,2,4,8,28,25,42,11,20,143,https://letterboxd.com/film/a-dog-called-discord/,https://letterboxd.com/bfi/films/
Do Digital Curanderas Use Eggs in Their Limpias?,2023,Roberto Fatal,"['River Gallo', 'Angel Zeas']",nan,nan,"['Science Fiction', 'Drama']",14,['USA'],English,"['English', 'Spanish']","A California barrio is on the brink of eradication after most of the community leaves behind their bodies and the pain of carbon-based life by uploading their consciousness to the Internet. Now, one of the few remaining residents, a lonely queer, gender fluid, Indigenous curandera/healer who has lost their magic, must convince their last living friend, an anti-uploading activist, to support their decision to upload their consciousness and leave their body behind.",nan,102,62,16,0,0,0,2,3,5,8,8,7,1,7,41,https://letterboxd.com/film/do-digital-curanderas-use-eggs-in-their-limpias/,https://letterboxd.com/bfi/films/
Who I Am Not,2023,Tünde Skovrán,nan,3.53,nan,['Documentary'],102,"['Canada', 'Romania']",English,['English'],"What makes a male, and what makes a female? Where do we draw the line, and does it really matter? Sharon-Rose Khumalo, a South African beauty queen, plunges into an identity crisis after finding out she is intersex. In her quest to deal with gender dysphoria, she needs the guidance of somebody just like her. The only person who will help is Dimakatso Sebidi, a masculine presenting intersex activist, who turns out to be her complete opposite. The two parallel but divergent stories offer an intimate look at the struggle of living in a male-female world, when you are both or neither. For the first time in a creative documentary, Who I Am Not gives a voice to the long ignored and mostly silent two percent of the world's population: the intersex community.","['Double 4 Studios', 'Filmoption International']",361,258,83,1,1,1,2,6,14,41,40,54,30,18,207,https://letterboxd.com/film/who-i-am-not/,https://letterboxd.com/bfi/films/
I Am Weekender,2023,Chloe Raunet,"['Jeff Barrett', 'Jeremy Deller', 'Tim Dorney', 'Dinara Drukarova', 'Bobby Gillespie', 'Anna Haigh', 'David Holmes', 'Jagz Kooner', 'Clive Langer', 'Marsh', 'Mark Moore', 'Barry Mooncult', 'Kim Mnguni', 'Róisín Murphy', 'Annie Nightingale', 'Des Penney', 'Lynne Ramsay', 'Shaun Ryder', 'Roy the Roach', 'Miranda Sawyer', 'Adam Smith', 'Sasha Souter', 'John Tuvey', 'Irvine Welsh', 'Lee Whitlock', 'Daniel Wolfe', 'Elliott Power']",nan,nan,"['Music', 'Documentary']",56,['UK'],English,['English'],"Wiz's Weekender (1992) was a film ahead of its time, both in form and content. It engaged with contemporary issues that mainstream media were eager to sensationalise. Consequently, it was branded with an 18 certificate and banned by both the BBC and ITV, never reaching a wider audience. For the past three decades, Weekender has bubbled just below the surface, gaining genuine cult status and influencing a vast network of creators. In the run-up to its thirtieth anniversary filmmakers Tabitha Denholm and Adam Dunlop interviewed people involved in the project. I Am Weekender is built around those conversations.",nan,220,93,41,0,1,1,2,8,14,53,34,38,1,5,157,https://letterboxd.com/film/i-am-weekender/,https://letterboxd.com/bfi/films/
Egghead & Twinkie,2023,Sarah Kambe Holland,"['Sabrina Jie-A-Fa', 'Louis Tomeo', 'Ayden Lee', 'Asahi Hirano', 'Kelley Mauro', 'J. Scott Browning', 'Roger Greco', 'Bryson JonSteele', 'Janelle Pham', 'Julian Smith']",3.55,nan,['Comedy'],87,['USA'],English,['English'],"After awkwardly coming out to her conservative parents, an Asian-American teenage girl takes off on a road trip to meet her online crush with the help of her nerdy best friend. Bursting with colorful animation and kinetic comic book flourishes, EGGHEAD & TWINKIE is a heartwarmingly sincere directorial debut about embracing your identity and the ups and downs of best friendship.","['CanBeDone Films', 'Orange Cat Films']",817,754,269,1,2,5,6,21,26,95,131,143,51,111,591,https://letterboxd.com/film/egghead-twinkie-2023/,https://letterboxd.com/bfi/films/
