Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Our Little Secret,2024,Stephen Herek,"['Lindsay Lohan', 'Ian Harding', 'Kristin Chenoweth', 'Jon Rudnitsky', 'Dan Bucatinsky', 'Jake Brennan', 'Judy Reyes', 'Katie Baker', 'Tim Meadows', 'Ash Santos', 'Henry Czerny', 'Bobbie Eakes', 'Brian Unger', 'Chris Parnell', 'Melinda Tanner', 'Mim Drew', 'Kurt Yue', 'Nathan Alexander Tutterrow', 'Jade Fernandez', 'Kimberly Donyale', 'Sunny Williams', 'Leah Selene', 'Warren Abercrombie', 'Christopher Deforest', 'Roy Jenkins', 'Corrie Henson', 'Janeen Michael', 'Jasper Randall', 'Kathy J. Carey', 'Mark Blankenship', 'Rachael Chao', 'Rita Shealy', 'Sonya Da Silva', 'Steve Adam Henson', 'Tim Ellis', 'Wendy Young McKinnon']",2.48,nan,"['Drama', 'Romance', 'Comedy']",99,['USA'],English,"['English', 'Spanish']","After discovering their significant others are siblings, two resentful exes must spend Christmas under one roof — while hiding their romantic history.","['Capital Arts Entertainment', 'Good Entertainment']",55131,7757,7054,10,901,2304,2850,8345,8961,12776,4529,3346,410,1180,45602,https://letterboxd.com/film/our-little-secret/,https://letterboxd.com/harinef/films/
Wicked,2024,Jon M. Chu,"['Cynthia Erivo', 'Ariana Grande', 'Jonathan Bailey', 'Michelle Yeoh', 'Jeff Goldblum', 'Marissa Bode', 'Ethan Slater', 'Bowen Yang', 'Bronwyn James', 'Peter Dinklage', 'Keala Settle', 'Aaron Teoh', 'Colin Michael Carmichael', 'Adam James', 'Alice Fearn', 'Andy Nyman', 'Courtney-Mae Briggs', 'Sharon D. Clarke', 'Jenna Boyd', 'Karis Musongole', 'Ricardo Ludgero Souza', 'Poppy Townsend White', 'Matthew Koon', 'Alfredo Tavares', 'Jason Lines', 'Misa Koide', 'Skylar Blu Copeland', 'Hannah Veerapen', 'Aisha Jawando', 'Lukus Alexander', 'Isaac Bishop', 'Jonathan Sparrow', 'Terence Hughes', 'Marvin Montoute', 'James Dryden', 'Idina Menzel', 'Kristin Chenoweth', 'Stephen Schwartz', 'Kerry Ellis', 'Luke Bayer', 'Georgina Onuorah', 'Dianne Pilkington', 'Winnie Holzman', 'Kristy Ann Shaw', 'Elijah Chatwell']",4.07,nan,"['Romance', 'Drama', 'Fantasy']",160,['USA'],English,['English'],"When ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda, the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.","['Universal Pictures', 'Marc Platt Productions']",574072,91692,252628,9600,1635,1967,1928,6898,10791,34995,55434,129362,88991,186363,518364,https://letterboxd.com/film/wicked-2024/,https://letterboxd.com/harinef/films/
Gladiator II,2024,Ridley Scott,"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce', 'Alfie Tempest', 'Amira Ghazalla', 'Alexander Simkin', 'David Ganly', 'Richard Katz', 'Amal Ayouch', 'Hadrian Howard', 'Chidi Ajufo', 'Lee Charles', 'Christopher Edward Hallaways', 'Chi Lewis-Parry', 'Ángel Gómez De La Torre', 'Brahim Ait Ben Azzouz', 'Maxime Rauf Ruijselaar', 'Dean Fagan', 'Tom Moutchi', 'May Calamawy']",3.4,nan,"['Action', 'Adventure']",148,['USA'],English,['English'],"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","['Paramount Pictures', 'Red Wagon Entertainment', 'Parkes+MacDonald Image Nation', 'Scott Free Productions']",517664,90467,135719,854,2200,4506,5694,23862,37067,96665,114657,119661,33074,28863,466249,https://letterboxd.com/film/gladiator-ii/,https://letterboxd.com/harinef/films/
Joker: Folie à Deux,2024,Todd Phillips,"['Joaquin Phoenix', 'Lady Gaga', 'Brendan Gleeson', 'Catherine Keener', 'Zazie Beetz', 'Steve Coogan', 'Harry Lawtey', 'Leigh Gill', 'Ken Leung', 'Jacob Lofland', 'Bill Smitrovich', 'Sharon Washington', 'Alfred Rubin Thompson', 'Connor Storrie', 'Gregg Daniel', 'Mac Brandt', 'George Carroll', 'John Lacy', 'Tim Dillon', 'Wayne Dehart', 'Troy Fromin', 'Ajgie Kirkland', 'Terrance T.P. Polite', 'Jimmy Walker Jr.', 'Toney Wilson', 'June Carryl', 'Don McManus', 'G.L. McQueary', 'Angela D. Watson', 'Murphy Guyer', 'Carson Higgins', 'Gattlin Griffith', 'Hudson Oz', 'Ray Lykins', 'Will Ropp', 'Ashton Moio', 'Emilio Rojas', 'Joe Spinney', 'Richard Busser', 'Brian Donahue', 'Mike Houston', 'Jess King', 'Jimmy Smagula', 'Stephen Stanton', 'Martin Kildare', 'Laurie Dawn', 'Steven X. Greenfield', 'Dominiqué Williams-Blair', 'Barry Bonder', ""Kaylah Sharve' Baker"", 'Ashley Levin', 'Celeste Butler', 'Alex Wesley Smith', 'Robert Loftus', 'Nick Cave']",2.45,nan,"['Thriller', 'Crime', 'Drama']",138,['USA'],English,['English'],"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","['Warner Bros. Pictures', 'Joint Effort', 'Domain Entertainment']",562330,101871,82184,574,18214,39927,42838,98813,82275,96684,54509,44334,10509,13318,501421,https://letterboxd.com/film/joker-folie-a-deux/,https://letterboxd.com/harinef/films/
The Brutalist,2024,Brady Corbet,"['Adrien Brody', 'Felicity Jones', 'Guy Pearce', 'Joe Alwyn', 'Raffey Cassidy', 'Stacy Martin', 'Emma Laird', 'Isaach de Bankolé', 'Alessandro Nivola', 'Benett Vilmányi', 'Michael Epp', 'Jonathan Hyde', 'Peter Polycarpou', 'Salvatore Sansone', 'Ariane Labed', 'Dóra Sztarenki', 'Anna Mészöly', 'Abigél Szőke', 'Mariann Hermányi', 'Hermina Fátyol', 'Zsolt Páll', 'András Borgula', 'Dávid Puskás', 'Jeremy Wheeler', 'Jaymes Butler', 'Matt Devere', 'Natalie Shinnick', 'Stephen Saracco', 'Peter Linka', 'Robert Jackson', 'Levente Orbán']",4.11,nan,['Drama'],215,"['UK', 'USA']",English,"['English', 'Yiddish', 'Italian', 'Hungarian', 'Hebrew (modern)']","Fleeing from post-war Europe in 1947, a visionary architect and his wife settle in Pennsylvania where a wealthy and mysterious client changes their lives forever.","['Brookstreet Pictures', 'Kaplan Morrison', 'Intake Films', 'Andrew Lauren Productions', 'Lipsync Productions', 'Richmond Pictures', 'Meyohas Studio', 'Carte Blanche', 'Pierce Capital Entertainment']",11987,16928,4702,156,27,43,46,149,227,549,1025,2500,2513,2205,9284,https://letterboxd.com/film/the-brutalist/,https://letterboxd.com/harinef/films/
Babygirl,2024,Halina Reijn,"['Nicole Kidman', 'Harris Dickinson', 'Antonio Banderas', 'Sophie Wilde', 'Esther-Rose McGregor', 'Vaughan Reilly', 'Victor Slezak', 'Leslie Silva', 'Gaite Jansen', 'Robert Farrior', 'Bartley Booz', 'Anoop Desai', 'Mary Ann Lamb', 'Gabrielle Policano', 'Gabriela Torres', 'Izabel Mar', ""Max O'Herlihy"", 'Michael Kirchmann', 'Mareau Hall', 'Dolly Wells', 'Tess McMillan', 'Skyler Matthews', 'Molly Joy Price', 'Maxwell Whittington-Cooper', 'Maryann Urbano']",3.5,nan,['Drama'],114,"['Netherlands', 'USA']",English,['English'],A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,"['A24', '2AM', 'Man Up Film']",4107,10639,1099,24,32,64,83,205,285,496,593,735,271,175,2939,https://letterboxd.com/film/babygirl-2024/,https://letterboxd.com/harinef/films/
Conclave,2024,Edward Berger,"['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Isabella Rossellini', 'Lucian Msamati', 'Carlos Diehz', 'Sergio Castellitto', ""Brían F. O'Byrne"", 'Merab Ninidze', 'Thomas Loibl', 'Jacek Koman', 'Bruno Novelli', 'Rony Kramer', 'Valerio Da Silva', 'Joseph Mydell', 'Vincenzo Failla', 'Garrick Hagon', 'Madhav Sharma', 'Loris Loddi', 'Roberto Citran', 'Antonio Toma', 'Balkissa Souley Maiga', 'Romuald Kłos', 'Willie Jonah']",3.87,nan,"['Drama', 'Thriller']",120,"['UK', 'USA']",English,"['English', 'Latin', 'Vietnamese', 'Spanish', 'Italian']","After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.","['FilmNation Entertainment', 'Indian Paintbrush', 'House Productions']",148777,44545,49204,353,150,295,347,1544,2959,12616,28637,52879,19109,10038,128574,https://letterboxd.com/film/conclave/,https://letterboxd.com/harinef/films/
MaXXXine,2024,Ti West,"['Mia Goth', 'Elizabeth Debicki', 'Moses Sumney', 'Michelle Monaghan', 'Bobby Cannavale', 'Halsey', 'Lily Collins', 'Giancarlo Esposito', 'Kevin Bacon', 'Charley Rowan McCain', 'Simon Prast', 'Deborah Geffner', 'Daniel Lench', 'Chloe Farnworth', 'Brad Swanick', 'Uli Latukefu', 'Susan Pingleton', 'Zachary Mooren', 'Ned Vaughn', 'Marcus LaVoi', 'Sophie Thatcher', 'Albert Kong', 'Toby Huss', 'Taylor Kowalski', 'Pegah Rashti', 'Larry Fessenden', 'Marlyn Ortiz', 'Alison Wonderland', 'Kristin Carey', 'Cecilia Yesuil Kim', 'Clayton Farris', 'Melissa Kaye Bontempt', 'Allen Waiserman']",3.1,nan,"['Thriller', 'Horror', 'Mystery']",104,['USA'],English,['English'],"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.","['A24', 'Motel Mojave', 'Access Entertainment']",609321,135498,158352,1700,2573,8127,11367,46000,68324,142433,106694,91315,21747,34694,533274,https://letterboxd.com/film/maxxxine/,https://letterboxd.com/harinef/films/
Slave Play. Not a Movie. A Play.,2024,Jeremy O. Harris,"['Jeremy O. Harris', 'Amauta Firmino', 'Annie McNamara', 'Irene Sophia Lucio', 'Jonathan Higginbotham', 'Devin Kawaoka', 'Stephen Ceflu', 'Jakeem Dante Powell', ""Patricia Fa'asua"", 'Marié Botha', 'Antoinette Crowe-Legacy', 'Hudson James Oznowicz', 'Israel Erron Ford', 'Jennifer Monaco', 'Denzel Gray', 'Sung-hyun Yoon', 'Amani Owusu', 'Vi Nguyen', 'William L. Nixon', ""Jonah O'Hara-David"", 'Hubert Mitchell', 'Phillipa Grenda', 'Dustin Damonte', 'Lydia Case', 'Anik Zarkos', 'Sidney Diaz', 'ShaQuanna Williams', 'Latonya Grant', 'Rebecca Codas', 'Natasha Walfall', 'Aaron Latta-Morissette', 'Athan Chekas', 'Peter Bowden', 'Kerstin Coco Qvortrup', 'J.P. Maddock', 'Jahquale Mazyck', 'Malcolm Callender']",3.58,nan,['Documentary'],79,['USA'],English,['English'],"A playful and illuminating self-portrait of writer Jeremy O. Harris as he workshops and mines Slave Play, the provocative play that thrust him into the spotlight, with a new cast of young actors from New York’s William Esper Studio.",['HBO Documentary Films'],2022,480,588,1,12,12,12,50,61,207,225,372,101,158,1210,https://letterboxd.com/film/slave-play-not-a-movie-a-play/,https://letterboxd.com/harinef/films/
All's Well,2024,Paulina Casey,"['Kyra Morling', 'Devaney Sparrow', 'Sara Akay', 'Bryan Cornforth']",nan,nan,['Drama'],18,['USA'],English,['English'],"In the grip of a mental breakdown, Kyra moves through New York City in one failed attempt to connect after another. A final, fruitless encounter on Coney Island leaves her distraught, broken and ready to fight her way forward - if she can.",nan,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,https://letterboxd.com/film/alls-well-2024/,https://letterboxd.com/harinef/films/
